treatment_id,treatment_name,category,description,base_cost,duration_mins,is_active
1,Dental Cleaning & Scaling,preventive,Removal of plaque and tartar using ultrasonic scaler,800.0,45,1
2,Composite Filling,restorative,Tooth-coloured resin filling for cavities,1200.0,30,1
3,Root Canal Treatment,restorative,Removal of infected pulp; canal cleaning and filling,5500.0,90,1
4,Tooth Extraction (simple),surgical,Removal of non-impacted tooth under local anaesthesia,700.0,30,1
5,Teeth Whitening (laser),cosmetic,In-office laser whitening for 2-3 shade improvement,3500.0,60,1
6,Dental X-Ray (OPG),diagnostic,Full-mouth orthopantomogram digital radiograph,600.0,15,1
7,Metal Braces (per arch),orthodontic,"Standard stainless steel braces, one arch",18000.0,60,1
8,Pit & Fissure Sealant,preventive,Protective sealant applied to molars to prevent decay,400.0,20,1
9,Porcelain Crown,restorative,Full ceramic crown fabricated and cemented,7500.0,60,1
10,Gum Flap Surgery,surgical,Periodontal surgery for advanced gum disease,8000.0,90,1
